gene_id	go_id
Potri.001G034300	GO:0003676
Potri.001G034300	GO:0003677
Potri.001G034300	GO:0006357
Potri.001G034300	GO:0032784
Potri.001G034500	GO:0003690
Potri.001G034500	GO:0005739
Potri.001G034500	GO:0006355
Potri.001G034600	GO:0003690
Potri.001G034600	GO:0005739
Potri.001G034600	GO:0006355
Potri.001G034700	GO:0003690
Potri.001G034700	GO:0005739
Potri.001G034700	GO:0006355
Potri.001G034900	GO:0003690
Potri.001G034900	GO:0005739
Potri.001G034900	GO:0006355
Potri.001G035000	GO:0003690
Potri.001G035000	GO:0005739
Potri.001G035000	GO:0006355
Potri.001G035200	GO:0003690
Potri.001G035200	GO:0005739
Potri.001G035200	GO:0006355
Potri.001G035300	GO:0003690
Potri.001G035300	GO:0005739
Potri.001G035300	GO:0006355
Potri.001G035400	GO:0004672
Potri.001G035400	GO:0006468
Potri.001G035500	GO:0005515
Potri.001G035600	GO:0003690
Potri.001G035600	GO:0005739
Potri.001G035600	GO:0006355
Potri.001G035900	GO:0004672
Potri.001G035900	GO:0006468
Potri.001G036100	GO:0006886
Potri.001G036100	GO:0008536
Potri.001G036500	GO:0008146
Potri.001G036600	GO:0008146
Potri.001G036800	GO:0005515
Potri.001G036800	GO:0005634
Potri.001G036800	GO:0008270
Potri.001G036800	GO:0018024
Potri.001G036800	GO:0034968
Potri.001G036800	GO:0042393
Potri.001G036900	GO:0003824
Potri.001G036900	GO:0008152
Potri.001G037100	GO:0031047
Potri.001G037200	GO:0004842
Potri.001G037200	GO:0016567
Potri.001G037200	GO:0046872
Potri.001G037300	GO:0005524
Potri.001G037500	GO:0070461
Potri.001G037700	GO:0005975
Potri.001G037700	GO:0016853
Potri.001G038000	GO:0003684
Potri.001G038000	GO:0005515
Potri.001G038000	GO:0006289
Potri.001G038000	GO:0043161
Potri.001G038100	GO:0016020
Potri.001G038300	GO:0004672
Potri.001G038300	GO:0004674
Potri.001G038300	GO:0005524
Potri.001G038300	GO:0006468
Potri.001G038300	GO:0016021
Potri.001G038300	GO:0030247
Potri.001G038500	GO:0005634
Potri.001G038600	GO:0004674
Potri.001G038600	GO:0016021
Potri.001G038700	GO:0004674
Potri.001G038700	GO:0016021
Potri.001G038700	GO:0030247
Potri.001G039100	GO:0004674
Potri.001G039100	GO:0016021
Potri.001G039100	GO:0030247
Potri.001G039200	GO:0004672
Potri.001G039200	GO:0004674
Potri.001G039200	GO:0005524
Potri.001G039200	GO:0006468
Potri.001G039200	GO:0016021
Potri.001G039200	GO:0030247
Potri.001G039300	GO:0004674
Potri.001G039300	GO:0016021
Potri.001G039300	GO:0030247
Potri.001G039800	GO:0004674
Potri.001G039800	GO:0016021
Potri.001G039800	GO:0030247
Potri.001G039900	GO:0004672
Potri.001G039900	GO:0004674
Potri.001G039900	GO:0005524
Potri.001G039900	GO:0006468
Potri.001G039900	GO:0016021
Potri.001G039900	GO:0030247
Potri.001G040000	GO:0004672
Potri.001G040000	GO:0004674
Potri.001G040000	GO:0005509
Potri.001G040000	GO:0006468
Potri.001G040000	GO:0016021
Potri.001G040000	GO:0030247
Potri.001G040200	GO:0046872
Potri.001G040400	GO:0005634
Potri.001G040500	GO:0004672
Potri.001G040500	GO:0004674
Potri.001G040500	GO:0005509
Potri.001G040500	GO:0005524
Potri.001G040500	GO:0006468
Potri.001G040500	GO:0016021
Potri.001G040500	GO:0030247
Potri.001G040600	GO:0004674
Potri.001G040600	GO:0016021
Potri.001G040600	GO:0030247
Potri.001G040800	GO:0004672
Potri.001G040800	GO:0004674
Potri.001G040800	GO:0005524
Potri.001G040800	GO:0006468
Potri.001G040800	GO:0016021
Potri.001G040800	GO:0030247
Potri.001G040900	GO:0004672
Potri.001G040900	GO:0005524
Potri.001G040900	GO:0006468
Potri.001G041000	GO:0004674
Potri.001G041000	GO:0005509
Potri.001G041000	GO:0016021
Potri.001G041000	GO:0030247
Potri.001G041100	GO:0004672
Potri.001G041100	GO:0004674
Potri.001G041100	GO:0005509
Potri.001G041100	GO:0005524
Potri.001G041100	GO:0006468
Potri.001G041100	GO:0016021
Potri.001G041100	GO:0030247
Potri.001G041300	GO:0046872
Potri.001G041500	GO:0003700
Potri.001G041500	GO:0006355
Potri.001G041500	GO:0007275
Potri.001G041600	GO:0016021
Potri.001G041600	GO:0055085
Potri.001G041700	GO:0004190
Potri.001G041700	GO:0006508
